league,game_date,local_team,local_team_points,visit_team,visit_team_points,player_team,player_name,player_total_points,time,one_point_shots_get,one_point_shots_made,two_point_shots_get,two_point_shots_made,three_point_shots_get,three_point_shots_made,rebouts,assists,fouls,received_fouls
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Bernardi Andrea,0,0,0,0,0,0,0,0,0,0,0,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Craft Aaron,32,13,4,4,3,4,1,4,3,9,3,3
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Jefferson Johndre,25,18,2,8,8,14,0,1,12,0,2,6
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Baldi Rossi Filippo,8,7,0,0,2,4,1,1,2,1,1,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Moraschini Riccardo,7,2,0,2,1,1,0,0,0,0,2,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Forray Toto,12,5,0,0,1,2,1,2,3,1,3,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Flaccadori Diego,23,9,3,4,0,1,2,5,1,2,1,5
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Lovisotto Isacco,0,0,0,0,0,0,0,0,0,0,0,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Gomes Beto,32,14,2,2,0,0,4,5,7,4,2,2
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Hogue Dustin,25,15,3,6,6,8,0,2,4,0,3,5
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Lighty David,35,7,0,0,2,6,1,3,1,5,1,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Lechthaler Luca,1,0,0,0,0,0,0,0,1,0,0,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Amato Andrea,4,0,0,0,0,1,0,0,0,1,1,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Mian Fabio,22,10,2,2,1,4,2,5,4,1,2,2
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Gaspardo Raphael,17,0,0,0,0,1,0,0,3,0,2,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Wojciechowski Jakub,13,8,0,0,1,3,2,4,5,0,4,2
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Biligha Paul Stephan,17,2,0,0,1,1,0,0,3,0,5,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Turner Elston,28,19,3,3,2,6,4,7,3,1,0,3
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,York Gabe,12,0,0,0,0,0,0,2,2,2,3,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Thomas Omar Abdul,18,4,0,0,2,5,0,1,3,2,2,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Thomas TaShawn,33,10,2,2,4,10,0,1,6,2,3,3
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Holloway Tu,36,24,10,10,4,7,2,6,2,7,2,6
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Bernardi Andrea,0,0,0,0,0,0,0,0,0,0,0,0
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Craft Aaron,23,10,4,4,3,3,0,2,4,7,0,3
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Jefferson Johndre,27,14,2,5,6,10,0,0,5,2,3,3
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Baldi Rossi Filippo,18,11,1,1,2,4,2,6,4,0,1,2
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Moraschini Riccardo,5,2,0,0,1,1,0,0,2,0,1,1
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Forray Toto,20,4,2,2,1,1,0,4,1,2,3,3
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Flaccadori Diego,25,14,3,4,1,2,3,3,3,1,5,3
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Lovisotto Isacco,0,0,0,0,0,0,0,0,0,0,0,0
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Gomes Beto,24,9,0,0,3,6,1,4,4,1,1,0
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Hogue Dustin,21,11,2,3,3,10,1,1,4,3,3,3
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Lighty David,33,10,4,6,3,4,0,1,2,1,2,4
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,local,Lechthaler Luca,4,0,0,0,0,0,0,0,3,0,1,1
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Galipò Giorgio,0,0,0,0,0,0,0,0,0,0,0,0
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Fitipaldo Bruno,30,7,1,1,0,0,2,6,1,13,3,2
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Iannuzzi Antonio,13,6,0,0,3,5,0,0,3,2,2,4
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Laquintana Tommaso,15,12,3,4,3,3,1,1,0,2,4,2
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Perl Zoltan,26,10,5,7,1,5,1,3,6,1,3,5
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Nicevic Sandro,0,0,0,0,0,0,0,0,0,0,0,0
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Delas Mario,27,19,1,2,9,13,0,1,6,1,4,2
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Diener Drake,34,10,2,2,1,4,2,3,2,2,3,2
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Pavicevic Filip,0,0,0,0,0,0,0,0,0,0,0,0
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Archie Dominique,34,6,0,0,3,3,0,4,4,1,2,1
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Stojanovic Vojislav,21,6,1,2,1,3,1,3,3,0,2,1
lega,23/10/2016,Dolomiti Energia Trentino,85,Betaland Capo d'Orlando,76,visit,Munafo' Antonio,0,0,0,0,0,0,0,0,0,0,0,0
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Bernardi Andrea,0,0,0,0,0,0,0,0,0,0,0,0
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Craft Aaron,27,10,0,0,5,6,0,2,1,4,3,2
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Jefferson Johndre,28,13,3,3,5,13,0,0,13,0,0,3
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Baldi Rossi Filippo,18,10,3,6,2,4,1,3,8,0,5,5
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Moraschini Riccardo,10,4,0,1,2,2,0,2,1,0,1,2
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Forray Toto,13,6,2,2,2,4,0,0,1,3,4,2
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Flaccadori Diego,23,6,0,0,3,7,0,1,3,1,1,1
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Lovisotto Isacco,0,0,0,0,0,0,0,0,0,0,0,0
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Gomes Beto,26,7,3,3,2,6,0,4,4,1,2,3
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Hogue Dustin,23,4,4,8,0,2,0,0,2,0,3,4
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Lighty David,28,20,2,2,9,14,0,2,3,2,2,3
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,local,Lechthaler Luca,4,0,0,0,0,0,0,0,0,0,1,0
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Aradori Pietro,35,26,6,6,4,7,4,6,7,6,1,4
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Needham Derek,23,10,0,0,2,3,2,5,0,2,3,0
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Polonara Achille,23,5,1,2,2,3,0,0,6,1,4,2
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,James Delroy,17,0,0,2,0,0,0,1,3,0,3,1
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Della Valle Amedeo,35,12,5,6,2,2,1,5,3,2,2,3
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,De Nicolao Andrea,19,1,1,2,0,0,0,0,0,2,3,2
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Bonacini Federico,6,0,0,0,0,0,0,0,0,0,2,0
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Strautins Arturs,2,0,0,0,0,0,0,1,0,0,3,1
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Cervi Riccardo,26,20,2,4,9,12,0,0,4,0,2,3
lega,30/10/2016,Dolomiti Energia Trentino,80,Grissin Bon Reggio Emilia,84,visit,Lesic Sava,14,10,1,2,3,7,1,3,4,0,2,6
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Bernardi Andrea,0,0,0,0,0,0,0,0,0,0,0,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Craft Aaron,32,3,1,2,1,7,0,2,3,4,2,1
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Jefferson Johndre,26,9,1,2,4,5,0,0,6,0,3,2
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Baldi Rossi Filippo,19,8,0,0,1,3,2,4,4,1,3,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Moraschini Riccardo,18,10,1,2,3,7,1,2,3,0,0,1
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Forray Toto,15,5,3,4,1,3,0,2,2,3,2,3
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Flaccadori Diego,23,12,3,4,3,5,1,4,2,3,2,6
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Lovisotto Isacco,0,0,0,0,0,0,0,0,0,0,0,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Gomes Beto,15,0,0,0,0,2,0,2,2,0,1,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Hogue Dustin,26,12,3,5,3,5,1,2,6,0,5,8
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Lighty David,26,11,0,0,4,9,1,5,1,2,3,1
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,local,Lechthaler Luca,0,0,0,0,0,0,0,0,0,0,0,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Wilson Jamil,28,7,0,0,2,2,1,3,7,2,4,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Harvey Tyler,16,3,3,3,0,1,0,3,2,0,3,1
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Wright Chris,26,8,2,2,0,3,2,3,1,4,1,1
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,White DJ,30,14,5,6,3,9,1,1,10,1,4,8
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Parente Davide,0,0,0,0,0,0,0,0,0,0,0,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Alibegovic Mirza,21,13,2,2,1,1,3,5,2,2,4,2
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Poeta Giuseppe,20,8,0,1,4,6,0,3,1,3,1,4
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Washington Deron,37,21,5,6,8,10,0,3,10,3,2,4
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Okeke David Albright,0,0,0,0,0,0,0,0,0,0,0,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Fall Abdel,0,0,0,0,0,0,0,0,0,0,0,0
lega,14/11/2016,Dolomiti Energia Trentino,70,Fiat Torino,74,visit,Mazzola Valerio,22,0,0,0,0,0,0,2,5,0,3,1
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Craft Aaron,28,8,0,0,4,6,0,3,0,2,2,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Jefferson Johndre,8,1,1,2,0,2,0,0,1,0,3,1
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Baldi Rossi Filippo,29,17,2,2,3,5,3,4,9,1,1,2
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Moraschini Riccardo,11,0,0,0,0,2,0,0,0,0,0,1
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Forray Toto,23,5,1,2,2,4,0,4,3,2,5,2
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Flaccadori Diego,25,11,5,6,3,6,0,3,1,3,1,3
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Lovisotto Isacco,0,0,0,0,0,0,0,0,0,0,0,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Gomes Beto,15,3,0,0,0,0,1,3,6,0,3,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Hogue Dustin,32,17,5,8,6,10,0,1,9,0,3,12
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Lighty David,29,12,3,4,3,5,1,5,3,2,2,2
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,local,Lechthaler Luca,0,0,0,0,0,0,0,0,0,0,0,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,McLean Jamel,25,8,2,3,3,7,0,0,7,2,4,4
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Fontecchio Simone,12,3,0,0,0,0,1,2,0,1,4,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Hickman Richard,23,5,0,1,1,2,1,3,3,3,0,1
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Kalnietis Mantas,17,11,0,0,4,4,1,1,4,2,0,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Dragic Zoran,20,10,0,1,2,2,2,5,2,3,3,2
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Macvan Milan,16,12,0,2,6,9,0,0,4,1,3,2
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Pascolo Davide,16,4,0,0,2,3,0,0,3,1,1,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Cinciarini Andrea,22,5,2,2,0,1,1,2,1,2,2,2
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Sanders Rakim,17,11,0,2,1,1,3,5,5,3,3,3
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Abass Abass Awudu,2,2,0,0,1,1,0,0,0,0,2,0
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Cerella Bruno,3,2,0,0,1,2,0,0,0,2,1,1
lega,04/12/2016,Dolomiti Energia Trentino,74,EA7 Emporio Armani Milano,92,visit,Simon Krunoslav,27,19,7,8,3,4,2,4,3,1,0,5
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Bernardi Andrea,0,0,0,0,0,0,0,0,0,0,0,0
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Craft Aaron,24,2,0,0,1,4,0,0,3,2,2,1
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Baldi Rossi Filippo,30,12,1,1,4,8,1,7,2,1,2,4
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Moraschini Riccardo,14,7,3,3,2,3,0,1,1,1,1,2
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Forray Toto,22,4,2,2,1,1,0,0,2,0,1,4
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Flaccadori Diego,19,10,2,2,1,4,2,3,0,3,2,1
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Gomes Beto,33,4,1,2,0,3,1,5,6,2,2,1
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Hogue Dustin,18,9,3,6,3,7,0,0,3,0,4,4
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Lighty David,35,34,2,2,10,18,4,5,5,2,1,3
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,local,Lechthaler Luca,5,2,0,0,1,1,0,0,0,0,0,1
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Johnson Dominique,37,20,0,0,1,1,6,10,3,3,4,0
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Anosike O.D.,24,16,2,2,7,11,0,0,12,0,2,4
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Maynor Eric,33,11,2,2,3,5,1,7,1,10,3,3
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Avramovic Aleksa,21,4,2,2,1,2,0,2,4,0,2,1
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Pelle Norvel,16,4,2,2,1,2,0,0,4,0,2,2
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Bulleri Massimo,3,0,0,0,0,0,0,0,0,0,0,0
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,De Vita Gianmarco,0,0,0,0,0,0,0,0,0,0,0,0
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Cavaliero Daniele,7,0,0,0,0,1,0,0,0,0,0,1
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Kangur Kristjan,30,4,0,0,2,3,0,1,2,1,3,2
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Canavesi Matteo,0,0,0,0,0,0,0,0,0,0,0,0
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Ferrero Giancarlo,0,0,0,0,0,0,0,0,0,0,0,0
lega,18/12/2016,Dolomiti Energia Trentino,84,Openjobmetis Varese,68,visit,Eyenga Christian,29,9,2,2,2,7,1,1,6,0,5,2
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Bernardi Andrea,0,0,0,0,0,0,0,0,0,0,0,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Craft Aaron,29,9,3,4,3,6,0,2,6,3,4,3
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Baldi Rossi Filippo,23,8,0,0,4,8,0,4,4,2,4,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Moraschini Riccardo,6,0,0,0,0,1,0,2,0,0,0,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Forray Toto,26,9,1,1,4,5,0,2,0,2,3,2
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Flaccadori Diego,23,14,2,2,6,9,0,1,5,1,1,2
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Lovisotto Isacco,0,0,0,0,0,0,0,0,0,0,0,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Gomes Beto,34,6,4,4,1,4,0,3,9,0,0,3
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Hogue Dustin,26,13,1,2,6,11,0,1,3,0,2,3
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Lighty David,33,9,1,2,4,7,0,5,1,3,1,2
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,local,Lechthaler Luca,0,0,0,0,0,0,0,0,0,0,0,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Acker Alex,21,5,0,0,1,2,1,2,3,2,1,2
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Chinellato Riccardo,0,0,0,0,0,0,0,0,0,0,0,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Baparapè Biram,0,0,0,0,0,0,0,0,0,0,0,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Parrillo Salvatore,8,3,0,0,0,0,1,1,1,1,2,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Lagana' Marco,0,0,0,0,0,0,0,0,0,0,0,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Pilepic Fran,31,19,3,3,2,4,4,6,5,2,1,1
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Callahan Craig,13,5,2,2,0,1,1,1,2,2,3,1
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Kariniauskas Vaidas,17,0,0,0,0,0,0,2,3,2,2,1
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Darden Tremmell,36,12,0,0,6,7,0,1,7,1,2,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Dowdell Zabian,34,13,1,2,6,11,0,1,0,7,2,4
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Quaglia Francesco,1,0,0,0,0,0,0,0,0,0,1,0
lega,02/01/2017,Dolomiti Energia Trentino,68,Red October Cantù,77,visit,Johnson JaJuan,39,20,0,0,10,15,0,3,10,2,3,5
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Marble Devyn,6,3,1,2,1,1,0,0,2,2,0,2
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Sutton Dominique,21,12,1,6,4,4,1,2,7,2,2,3
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Craft Aaron,27,13,0,0,2,5,3,3,2,7,0,2
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Baldi Rossi Filippo,32,14,0,0,4,8,2,5,7,5,2,1
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Moraschini Riccardo,16,2,0,0,1,5,0,1,4,1,0,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Forray Toto,23,2,0,0,1,1,0,6,2,2,3,1
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Flaccadori Diego,22,12,0,2,3,3,2,6,5,0,2,3
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Gomes Beto,27,14,1,1,2,3,3,5,6,1,2,2
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Hogue Dustin,26,12,0,0,6,11,0,0,7,1,4,1
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,local,Lechthaler Luca,0,0,0,0,0,0,0,0,0,0,0,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Agbelese Danny,7,0,0,0,0,2,0,0,1,0,1,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Scott Durand,26,3,1,1,1,4,0,2,1,2,1,2
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Carter Robert Lawrence,31,11,3,5,4,8,0,2,10,0,2,5
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Goss Phil,24,6,3,3,0,1,1,5,0,1,5,3
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Mesicek Blaz,19,0,0,0,0,3,0,3,2,0,2,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Cardillo Marco,10,0,0,0,0,0,0,1,2,1,0,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Moore  Nic,29,10,1,2,0,1,3,4,2,2,2,3
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Pacifico Gabriele,0,0,0,0,0,0,0,0,0,0,0,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Donzelli Daniel,0,0,0,0,0,0,0,0,0,0,0,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,M'Baye Amath,30,13,2,2,4,11,1,4,0,2,1,1
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Sgobba Giorgio,4,2,0,0,1,2,0,0,0,0,0,0
lega,22/01/2017,Dolomiti Energia Trentino,84,Enel Basket Brindisi,48,visit,Spanghero Marco,20,3,0,0,0,1,1,3,3,1,3,1
lega,05/02/2017,Dolomiti Energia Trentino,65,Umana Reyer Venezia,57,local,Marble Devyn,22,10,3,4,2,5,1,3,3,1,2,4
lega,05/02/2017,Dolomiti Energia Trentino,65,Umana Reyer Venezia,57,local,Sutton Dominique,19,9,0,0,3,4,1,1,2,2,5,3
